participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
511951994 True True 2 0 0 1 5 True Ersteres 100 24.39008 10.38142
511951994 True True 2 0 0 0 1 True Ersteres 100 8.423981 2.779449
511951994 True True 2 0 1 1 3 False Zweiteres 100 16.41061 3.340027
511951994 True True 2 1 0 1 2 True Zweiteres 100 2.633331 1.745148
511951994 True True 2 0 2 1 5 True Ersteres 100 5.546967 1.746643
511951994 True True 2 1 0 2 4 True Zweiteres 100 9.670959 1.688171
511951994 True True 2 3 0 2 0 True Zweiteres 100 7.416016 2.725891
511951994 True True 2 2 0 2 0 False Zweiteres 100 1.876709 2.312073
