participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
902518645 True True 2 0 0 1 5 True Ersteres 0 25.76858 16.55345
902518645 True True 2 0 0 0 1 False Zweiteres 100 6.540359 2.518295
902518645 True True 2 0 2 1 5 False Ersteres 92 7.532578 16.63861
902518645 True True 2 1 0 1 2 False Ersteres 70 16.5528 2.625641
902518645 True True 2 3 0 2 0 True Ersteres 14 22.84042 3.710022
902518645 True True 2 0 1 1 3 True Zweiteres 62 2.582123 3.11441
902518645 True True 2 1 0 2 4 True Zweiteres 63 6.948914 2.076172
902518645 True True 2 2 0 2 0 True Ersteres 3 35.48352 2.214294
