participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
4135265 False False 1 0 0 1 5 True Zweiteres 69 10.66644 3.932709
4135265 False False 1 0 0 0 1 False Zweiteres 85 2.589386 2.135468
4135265 False False 1 0 2 1 5 True Ersteres 83 3.680817 1.379059
4135265 False False 1 0 1 1 3 False Ersteres 53 4.498444 2.77124
4135265 False False 1 2 0 2 0 False Zweiteres 50 1.006226 1.719177
4135265 False False 1 1 0 2 4 False Zweiteres 50 1.59549 2.760864
4135265 False False 1 3 0 2 0 False Ersteres 50 1.150391 1.027771
4135265 False False 1 1 0 1 2 False Ersteres 45 1.493713 2.359741
