participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
416783446 False True 2 0 0 1 5 True Ersteres 95 15.82823 9.493744
416783446 False True 2 0 0 0 1 True Ersteres 100 7.023102 2.884552
416783446 False True 2 1 0 1 2 True Ersteres 66 3.432373 6.028503
416783446 False True 2 3 0 2 0 True Zweiteres 100 2.261536 2.329254
416783446 False True 2 1 0 2 4 True Ersteres 74 4.878082 3.700684
416783446 False True 2 2 0 2 0 True Zweiteres 78 2.378662 3.262024
416783446 False True 2 0 2 1 5 True Ersteres 84 3.999634 4.824402
416783446 False True 2 0 1 1 3 True Ersteres 82 3.841675 3.162659
