participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
210043285 True True 3 0 0 1 5 False Zweiteres 100 5.637299 3.13089
210043285 True True 3 0 0 0 1 False Zweiteres 100 2.710815 1.533661
210043285 True True 3 0 2 1 5 True Zweiteres 15 13.10144 2.815521
210043285 True True 3 3 0 2 0 False Ersteres 100 4.763092 1.491882
210043285 True True 3 2 0 2 0 False Ersteres 100 3.270874 2.526245
210043285 True True 3 0 1 1 3 True Ersteres 0 9.357544 2.115723
210043285 True True 3 1 0 2 4 True Ersteres 100 6.660339 2.398499
210043285 True True 3 1 0 1 2 False Zweiteres 100 13.17102 1.874817
