participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
461392836 True True 3 0 0 1 5 False Zweiteres 86 11.72339 3.8918
461392836 True True 3 0 0 0 1 False Zweiteres 100 1.670212 1.881958
461392836 True True 3 1 0 2 4 True Zweiteres 81 9.809113 2.432831
461392836 True True 3 3 0 2 0 False Ersteres 100 6.38446 4.226898
461392836 True True 3 0 2 1 5 True Ersteres 28 11.62961 4.856873
461392836 True True 3 0 1 1 3 True Zweiteres 35 51.87677 11.27496
461392836 True True 3 2 0 2 0 True Ersteres 34 24.35132 2.420715
461392836 True True 3 1 0 1 2 True Ersteres 69 3.713928 6.917847
