participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
913125468 True True 1 0 0 1 5 True Ersteres 100 4.23703 2.453629
913125468 True True 1 0 0 0 1 False Zweiteres 100 1.402679 1.925995
913125468 True True 1 2 0 2 0 False Zweiteres 50 1.507324 6.065643
913125468 True True 1 1 0 1 2 False Zweiteres 100 1.330017 2.09906
913125468 True True 1 0 1 1 3 True Ersteres 73 3.17453 2.389709
913125468 True True 1 0 2 1 5 False Ersteres 8 17.69586 1.473816
913125468 True True 1 3 0 2 0 True Zweiteres 23 1.276855 1.336853
913125468 True True 1 1 0 2 4 False Ersteres 8 3.6026 1.144531
