participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
207654268 False True 3 0 0 1 5 True Ersteres 64 7.497902 3.57132
207654268 False True 3 0 0 0 1 False Zweiteres 99 6.417953 4.852386
207654268 False True 3 3 0 2 0 False Ersteres 73 2.255432 2.782104
207654268 False True 3 0 2 1 5 False Ersteres 50 2.620239 2.394806
207654268 False True 3 2 0 2 0 False Zweiteres 11 3.363586 5.326904
207654268 False True 3 1 0 1 2 True Ersteres 50 8.912292 1.207581
207654268 False True 3 0 1 1 3 True Zweiteres 73 3.098755 2.37439
207654268 False True 3 1 0 2 4 True Zweiteres 39 11.78461 2.121643
