participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
794223377 False True 0 0 0 1 5 False Zweiteres 100 9.166656 4.428474
794223377 False True 0 0 0 0 1 True Ersteres 100 2.849716 2.612228
794223377 False True 0 0 2 1 5 True Ersteres 71 1.765121 2.066177
794223377 False True 0 0 1 1 3 True Ersteres 87 4.491302 1.786087
794223377 False True 0 1 0 1 2 False Zweiteres 72 1.560638 1.46637
794223377 False True 0 3 0 2 0 True Ersteres 50 1.314331 0.3834839
794223377 False True 0 2 0 2 0 True Ersteres 76 1.041931 1.973907
794223377 False True 0 1 0 2 4 True Ersteres 82 1.056915 1.310974
