participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
356011437 False False 3 0 0 1 5 True Ersteres 67 9.802383 6.002853
356011437 False False 3 0 0 0 1 False Zweiteres 100 3.856262 2.130524
356011437 False False 3 0 1 1 3 False Ersteres 83 2.59964 3.018799
356011437 False False 3 3 0 2 0 True Zweiteres 100 1.976196 1.676208
356011437 False False 3 0 2 1 5 True Ersteres 0 3.244598 1.748108
356011437 False False 3 1 0 2 4 False Zweiteres 38 1.270264 1.723328
356011437 False False 3 1 0 1 2 False Zweiteres 77 0.9419556 1.995605
356011437 False False 3 2 0 2 0 True Zweiteres 0 4.640381 1.380432
