participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
128987126 True False 1 0 0 1 5 False Zweiteres 76 6.54834 5.693237
128987126 True False 1 0 0 0 1 True Ersteres 100 2.776855 3.143311
128987126 True False 1 2 0 2 0 False Ersteres 100 8.466858 2.569153
128987126 True False 1 0 1 1 3 True Ersteres 24 5.61499 3.38739
128987126 True False 1 0 2 1 5 True Ersteres 26 7.022461 3.042297
128987126 True False 1 3 0 2 0 True Zweiteres 100 2.083496 1.903625
128987126 True False 1 1 0 2 4 False Zweiteres 0 3.0354 2.33728
128987126 True False 1 1 0 1 2 True Ersteres 3 2.892883 1.842896
