participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
728634820 False False 3 0 0 1 5 False Zweiteres 0 35.81705 4.025848
728634820 False False 3 0 0 0 1 True Ersteres 0 6.926025 5.282562
728634820 False False 3 1 0 1 2 False Zweiteres 0 9.453308 6.005707
728634820 False False 3 0 1 1 3 False Ersteres 0 58.74121 11.99719
728634820 False False 3 3 0 2 0 False Ersteres 24 4.481628 2.577698
728634820 False False 3 2 0 2 0 True Zweiteres 34 5.36554 1.571167
728634820 False False 3 1 0 2 4 True Ersteres 29 21.57355 1.737793
728634820 False False 3 0 2 1 5 False Ersteres 65 9.587952 2.944519
