participant-ID male av/car perspective scenario numb_childrenL numb_adultL numb_adultR left_first selected_option difficulty_of_decision response_time1 response_time2
57790762 True False 2 0 0 1 5 True Ersteres 100 5.811142 6.31929
57790762 True False 2 0 0 0 1 False Zweiteres 100 1.419281 1.819901
57790762 True False 2 0 2 1 5 True Zweiteres 78 4.626495 5.526855
57790762 True False 2 1 0 2 4 False Zweiteres 100 5.420624 2.297668
57790762 True False 2 1 0 1 2 True Ersteres 100 3.852875 1.476898
57790762 True False 2 3 0 2 0 False Ersteres 77 2.464081 1.89212
57790762 True False 2 2 0 2 0 True Ersteres 81 1.782776 5.533264
57790762 True False 2 0 1 1 3 False Ersteres 97 1.684021 1.488159
